Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double SIM 4G - GPS - Noir",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Noir,,N55 Pro,"108,99",cdiscount.com,SMARTPHONE
Smartphone Blackview SHARK 8 Android13 Téléphone Portable 5000mAH -Écran 2.4K 6.78'' 120Hz -16GB+256GB -64MP+13MP-NFC/OTC -Bleu,BLACKVIEW,8 Go RAM + jusqu'à 8Go d'extension,256 Go,Bleu,,"Blackview Shark 8 Smartphone 6.78"" 2.4K Écran 16Go","146,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI REDMI NOTE 10 5G 128 Go Gris,XIAOMI,4 Go - LPDDR4X SDRAM,128 Go,Gris,REDMINOTE105G128 G,,"93,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"350,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Blackview SHARK 8 Android13 Téléphone Portable 5000mAH -Écran 2.4K 6.78'' 120Hz -16GB+256GB -64MP+13MP-NFC/OTC -Noir,BLACKVIEW,8 Go RAM + jusqu'à 8Go d'extension,256 Go,Noir,,"Blackview Shark 8 Smartphone 6.78"" 2.4K Écran 16Go","146,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"84,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
