Nom du produit,Marque,Capacité,Référence,Type de périphérique,Prix,Site web,Catégorie
Disque Dur Externe - Western Digital - Elements - 1To - USB3.0 - Noir,WESTERN DIGITAL,1 To,WDBUZG0010BBK,Disque dur - externe (portable),"61,99",cdiscount.com,DISQUE DUR
Disque dur SSD CRUCIAL P3 4 To 3D NAND NVMe PCIe M.2,CRUCIAL,4 To,CT4000P3SSD8,Lecteur à semi-conducteurs - interne,"250,89",cdiscount.com,DISQUE DUR
Disque SSD Interne KINGSPEC NT 512 Go M.2 SATA 2242 - Vitesse de lecture jusqu'à 560 Mo/s - Garantie 3 ans,KINGSPEC,512 Go,,Lecteur à semi-conducteurs - interne,"32,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"Disque dur - WESTERN DIGITAL - WD Purple WD85PURZ - 8 To - SATA 6Gb/s - 3.5"" - 5400 tours/min",WESTERN DIGITAL,8 To,WD85PURZ,Disque dur,"195,1",cdiscount.com,DISQUE DUR
Disque dur SSD CRUCIAL P3 Plus 4 To PCIe 4.0 NVMe M.2 2280,CRUCIAL,4 To,CT4000P3PSSD8,Lecteur à semi-conducteurs - interne,"259,99",cdiscount.com,DISQUE DUR
WD - Disque dur Externe - WD Elements™ - 4To - USB 3.0 (WDBU6Y0040BBK-WESN),WESTERN DIGITAL,4 To,WDBU6Y0040BBK-WESN,Disque dur - externe (portable),"129,8",cdiscount.com,DISQUE DUR
"Disque dur interne Seagate IronWolf ST8000VN004 3.5"" 8 To SATA III - Robuste et évolutif",SEAGATE,8 To,,Disque dur - interne,"218,76",cdiscount.com,DISQUE DUR
Seagate SSD 1To Expansion Card for Xbox Series X/S (STJR1000400),SEAGATE,2 To,STJR1000400,,"141,99",cdiscount.com,DISQUE DUR
Disque dur interne SSD - M2 - NVMe -  1 TB - PCIE - CS2230,PNY,1 To,M280CS2230-1TB-RB,Disque dur interne SSD,"54,75",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque Dur Externe SEAGATE Xbox Game Drive Black 2 To USB 3.2,SEAGATE,2 To,STKX2000400,Disque dur - externe (portable),"113,02",cdiscount.com,DISQUE DUR
Disque SSD Interne - KINGSPEC - NX Series - 2 To - M.2 2280 NVMe 1 PCI Express Gen 3.0 x 4,KINGSPEC,2 To,,Lecteur à semi-conducteurs - interne,"105,99",cdiscount.com,DISQUE DUR
Disque SSD Interne - KINGSPEC - XG 7000 PRO Series - 2To - M.2 2280 NVME PCIe Gen4 x 4 Lane Compatible avec PS5,KINGSPEC,2 To,,Lecteur à semi-conducteurs - interne,"142,99",cdiscount.com,DISQUE DUR
Disque Dur Externe - SEAGATE - Xbox Game Drive Black - 4 To - USB 3.2 (STKX4000402),SEAGATE,4 To,STKX4000402,Disque dur - externe (portable),"169,99",cdiscount.com,DISQUE DUR
Disque dur - KINGSTON - NV3 M.2 2280 PCIe 4.0 NVMe SSD - 2000Go - 3500 Mo/s - 3D TLC,KINGSTON,2000Go,,Disque dur,"125,43",cdiscount.com,DISQUE DUR
Disque Dur 500Go SATA 3.5 Seagate Barracuda ST500DM002 7200rpm 16Mo,SEAGATE,500 Go,,Disque dur - interne,"20,9",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 1To - 5 400 tr/min - 2.5""",SEAGATE,1 To,ST1000LM048,Disque dur - interne,"54,59",cdiscount.com,DISQUE DUR
Disque Dur 320Go SATA 2.5 HGST HTS725032A7E630 7200rpm 32Mo PS4,,,,,"17,75",cdiscount.com,DISQUE DUR
Game Drive pour consoles PlayStation - SEAGATE - 5 To (STLV5000200),SEAGATE,5 To,STLV5000200,Game Drive pour consoles PlayStation,"204,2",cdiscount.com,DISQUE DUR
Disque dur - TOSHIBA - HDD 18000GB - SAS 12Gbit/s - 3.5',TOSHIBA,18000GB,,Disque dur,"379,95",cdiscount.com,DISQUE DUR
Disque Dur Externe - SEAGATE - Expansion Portable - 2 To - USB 3.0,SEAGATE,2 To,STKM2000400,Disque dur - externe (portable),"91,04",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque SSD Interne KINGSPEC P3 Series 4 To SATA III - Vitesse de lecture jusqu'à 580 Mo/s,KINGSPEC,4To,,Lecteur à semi-conducteurs - interne,"226,99",cdiscount.com,DISQUE DUR
Game Drive pour consoles PlayStation - SEAGATE - 2 To (STLV2000201),SEAGATE,2To,STLV2000201,Game Drive pour consoles PlayStation,"120,02",cdiscount.com,DISQUE DUR
Disque dur externe VERBATIM 2.5'' 1To USB3.0 - Gris,VERBATIM,2 To,23942531982,Disque dur - externe (portable),"55,6",cdiscount.com,DISQUE DUR
Disque dur - LENOVO - ThinkSystem 2.5' 5400 PRO - 480 Go - SATA 6Gb - 5400 Tours/min - 600 Mo/s,LENOVO,480 Go,,Disque dur,"319,11",cdiscount.com,DISQUE DUR
"Toshiba MG09 Series MG09ACA18TE - Disque dur - 18 To - interne - 3.5"" - SATA 6Gb/s - 7200 tours/min - mémoire tampon : 512 Mo",TOSHIBA,,,,"356,36",cdiscount.com,DISQUE DUR
LACIE - Disque Dur Externe - LaCie Rugged Mini - 5To - USB3.0 (STJJ5000400),LACIE,5 To,STJJ5000400,Disque dur - externe (portable),"199,14",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 2To - 5 400 tr/min - 2.5""",SEAGATE,2 To,ST2000LM015,Disque dur - interne,"88,91",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque SSD Interne - SN770 NVMe - WD_BLACK - 2 To - M.2 2280 - WDS200T3X0E - Compatible PS5,WESTERN DIGITAL,2 To,WDS200T3X0E,Lecteur à semi-conducteurs - interne,"137,99",cdiscount.com,DISQUE DUR
"Disque dur SSD - KINGSTON - SEDC600M/7680G - 3D TLC - 7,68 TB",KINGSTON,"7,68 TB",,Disque dur SSD,963,cdiscount.com,DISQUE DUR
Disque dur externe Wd My Passport™ 4 To,WESTERN DIGITAL,4 To,WDBPKJ0040BBK-WESN,Disque dur - externe (portable),"119,99",cdiscount.com,DISQUE DUR
"WD Blue™ - Disque dur Interne - 1To - 5400 tr/min - 3.5"" (WD10EZRZ)",WESTERN DIGITAL,1 To,WD10EZRZ,Disque dur - interne,"73,9",cdiscount.com,DISQUE DUR
Disque SSD Interne - KINGSPEC - XF Series - 2 To - M.2 2280 NVMe PCIe Gen4 x4 Lane,KINGSPEC,2 To,,Lecteur à semi-conducteurs - interne,"109,99",cdiscount.com,DISQUE DUR
Disque SSD Interne KINGSPEC P3 Series 4 To SATA III - Vitesse de lecture jusqu'à 580 Mo/s,KINGSPEC,4To,,Lecteur à semi-conducteurs - interne,"226,99",cdiscount.com,DISQUE DUR
Disque SSD Interne - SN770 NVMe - WD_BLACK - 2 To - M.2 2280 - WDS200T3X0E - Compatible PS5,WESTERN DIGITAL,2 To,WDS200T3X0E,Lecteur à semi-conducteurs - interne,"144,19",cdiscount.com,DISQUE DUR
Disque SSD interne Ace A55 512 Go - SILICON POWER - SATA 6Gb/s - Vitesses de lecture/écriture: 560 Mo/s 530 Mo/s,,512 Go,SP512GBSS3A55S25,Lecteur à semi-conducteurs - interne,"32,58",cdiscount.com,DISQUE DUR
Disque Dur 500Go SATA 3.5 Western Digital Blue WD5000AAKX-75U6AA0 25mm 7200rpm 16Mo,WESTERN DIGITAL,,,,20,cdiscount.com,DISQUE DUR
Disque SSD interne - SEAGATE - FireCuda 530R - 2 To - M.2 2280,SEAGATE,2 To,ZP2000GM3A063,Disque dur interne,"174,53",cdiscount.com,DISQUE DUR
"Disque Dur Interne - TOSHIBA - NAS N300 - 8To - 7200 tr/min - 3.5"" Boite Retail (HDWG480EZSTA)",TOSHIBA,8 To,HDWG480EZSTA,Disque dur - interne,"214,39",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"SYNOLOGY HAT5300-12T Disque Dur Interne - 12To - 7200 tr/min - 3,5"" - (HAT5300-12T)",SYNOLOGY,12 To,HAT5300-12T,Disque dur - interne,"549,79",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SEAGATE TECHNOLOGY - IronWolf - Disque dur interne 6To - Pour NAS IronWolf,SEAGATE,6 To,ST6000VN006,Disque dur interne,"165,9",cdiscount.com,DISQUE DUR
Disque Dur Externe - SEAGATE - Expansion Portable - 5To - USB 3.0 (STKM5000400),SEAGATE,5 To,STKM5000400,Disque dur - externe (portable),"150,02",cdiscount.com,DISQUE DUR
WD Green™ - 240 Go - M.2 SATA SSD,WESTERN DIGITAL,240 Go,,Disque dur,"29,2",cdiscount.com,DISQUE DUR
"Disque dur externe - INTENSO - Memory Case - 2,5' - 500Go - Noir",INTENSO,500 Go,6021530,Disque dur portable HDD,"41,99",cdiscount.com,DISQUE DUR
Disque dur SSD M.2 2230 PCIe Silicon Power UD90 2To,,2 To,,Disque dur,"163,42",cdiscount.com,DISQUE DUR
Disque dur externe Seagate 4TB Expansion Portable USB3.0 + Recuperation des donnees offerte,SEAGATE,4 To,STKM4000400,Disque dur - externe (portable),"134,56",cdiscount.com,DISQUE DUR
"'Seagate ST3500418AS Disque Dur Interne de 500 Go 7200 RPM, 3.5 SATA II",SEAGATE,500 Go,,Disque dur - interne,20,cdiscount.com,DISQUE DUR
SEAGATE TECHNOLOGY - IronWolf Pro - Disque dur interne 4To - Pour NAS IronWolf Pro,SEAGATE,4 To,ST4000NT001,Disque dur interne,"163,25",cdiscount.com,DISQUE DUR
Disque SSD Interne KINGSPEC MT Series 1 To mSATA SATA III 6Gb-s,KINGSPEC,1 To,,Lecteur à semi-conducteurs - interne,"58,99",cdiscount.com,DISQUE DUR
Disque SSD Interne KingSpec NT Series 2 To M.2 SATA 2280,KINGSPEC,2 To,,Lecteur à semi-conducteurs - interne,"100,99",cdiscount.com,DISQUE DUR
Disque SSD Interne - KingSpec - XG 7000 Series - 1To - M.2 2242 PCIe Gen4 x 4 NVME 1.4,KINGSPEC,1 To,,Lecteur à semi-conducteurs - interne,"94,99",cdiscount.com,DISQUE DUR
Disque dur interne SYNOLOGY HAT3300-6T - 6 To - SATA 6Gb/s - 5400 tours/min,SYNOLOGY,6 To,HAT3300-6T,Disque dur interne,"189,99",cdiscount.com,DISQUE DUR
"Disque dur externe INTENSO Memory Case 2.5"" USB 3.0 - 500 Go - Noir",INTENSO,500 Go,6021530,Disque dur - externe (portable),"47,52",cdiscount.com,DISQUE DUR
Disque dur externe LaCie Mobile Drive Moon Silver USB-C STLP5000400 - 5To,LACIE,5 To,,Disque dur externe,"186,89",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 1To - 5 400 tr/min - 2.5"" (ST1000LM048)",SEAGATE,1 To,ST1000LM048,Disque dur - interne,"64,95",cdiscount.com,DISQUE DUR
"Disque dur externe TRANSCEND StoreJet 25M3 - 2 To - 2.5"" - USB 3.1 Gen 1 - Gris",TRANSCEND,2 To,TS2TSJ25M3S,Disque dur - externe (portable),"107,44",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque SSD Interne - KINGSPEC - MT Series - 2 To - mSATA - SATA III 6Gb-s,KINGSPEC,2 To,,Lecteur à semi-conducteurs - interne,"104,99",cdiscount.com,DISQUE DUR
Disque dur externe de bureau WESTERN DIGITAL Elements Desktop - 8To - USB 3.0 - Noir,WESTERN DIGITAL,8 To,WDBWLG0080HBK-EESN,Disque dur - externe (de bureau),"205,94",cdiscount.com,DISQUE DUR
DISQUE DUR SSD SAMSUNG M.2 2280 NVME PCIE PCI EXPRESS 128GB SSD MODEL MZ-VLW1280 PM961,SAMSUNG,128 Go,,,22,cdiscount.com,DISQUE DUR
Disque dur SSD Transcend MTS800 32Go MLC SATA III 6Gb/s - S,TRANSCEND,32 Go,,Disque SSD - interne,"32,1",cdiscount.com,DISQUE DUR
"WD Gold™ - Disque dur Interne - 16To - 7200 tr/min - 3.5"" (WD161KRYZ)",WESTERN DIGITAL,16 To,WD161KRYZ,Disque dur - interne,"414,35",cdiscount.com,DISQUE DUR
"WD My Book™ - Disque dur Externe - 8To - USB 3.0 - 3,5"" (WDBBGB0080HBK-EESN)",WESTERN DIGITAL,8 To,WDBBGB0080HBK-EESN,Disque dur - externe (de bureau),"218,36",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 3To - 5 400 tr/min - 3.5""",SEAGATE,3 To,ST3000DM007,Disque dur - interne,"96,29",cdiscount.com,DISQUE DUR
Disque dur externe Western Digital Elements 12 To USB 3.0 - Plug-and-Play,WESTERN DIGITAL,12 To,,Disque dur - externe (de bureau),"279,51",cdiscount.com,DISQUE DUR
Disque Dur Externe LaCie Rugged Mini 1To USB3.0,LACIE,1 To,LAC301558,Disque dur - externe (portable),"99,46",cdiscount.com,DISQUE DUR
Disque SSD Interne - KingSpec - XG 7000 Series - 2To - M.2 2242 PCIe Gen4 x 4 NVME 1.4,KINGSPEC,2 To,,Lecteur à semi-conducteurs - interne,"157,99",cdiscount.com,DISQUE DUR
Disque SSD Interne - KINGSPEC - VP101 Series - 2000 Go - M.2 2280 NVME PCIe 5.0 x 4 Support NVMe 2.0,KINGSPEC,2000 Go,,Lecteur à semi-conducteurs - interne,"199,99",cdiscount.com,DISQUE DUR
