Nom du produit,Marque,Capacité,Référence,Type de périphérique,Prix,Site web,Catégorie
Disque dur externe Toshiba CANVIO 2To,TOSHIBA,2 To,HDTB520EK3AA,Disque dur - externe (portable),"87,1",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe INN® Type-C disque dur externe 1To pour PC ordinateur portable bureau disque dur externe portable disque mobile,,,,,"26,9",cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 250GB",PNY,250 GB,SSD7CS900-250-RB,Disque SSD CS900,"14,99",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 2To,TOSHIBA,2 To,HDTB520EK3AA,Disque dur - externe (portable),"87,1",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe portable TD® 4To USB3.0 Transfert haute vitesse mobile12x7.2x1 cm avec sac de rangement en tissu de poch HDD,,,,,"69,9",cdiscount.com,DISQUE DUR
Disque dur externe Wd DISQUE DUR EXTERNE WD ELEMENT 5TO,WESTERN DIGITAL,5 To,WDBU6Y0050BBK-WESN,Disque dur - externe (portable),"129,1",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 1To,TOSHIBA,1 To,HDTB510EK3AA,Disque dur - externe (portable),"65,27",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"Disque dur - WESTERN DIGITAL - WD Purple WD85PURZ - 8 To - SATA 6Gb/s - 3.5"" - 5400 tours/min",WESTERN DIGITAL,8 To,WD85PURZ,Disque dur,"220,19",cdiscount.com,DISQUE DUR
Disque dur externe INN® Type-C disque dur externe mobile Système de fenêtre de support et système Android Disque amovible portable,,,,,"29,9",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
WD - Disque dur Externe - WD Elements™ - 2To - USB 3.0 (WDBU6Y0020BBK-WESN),WESTERN DIGITAL,2 To,WDBU6Y0020BBK-WESN,Disque dur - externe (portable),"78,99",cdiscount.com,DISQUE DUR
Boitier externe - TooQ - Shura - USB-C 3.2 - 2To - S-ATA/NVMe M.2 2280,,2To,,Boitier externe,"22,81",cdiscount.com,DISQUE DUR
Disque dur interne - TOSHIBA - NAS N300 - 14 To - 7200 tpm - Haute fiabilité - RAID,TOSHIBA,14 To,HDWG51EEZSTA,Disque dur interne,"337,91",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"SSD externe - PNY - RP60 - 1To - USB 3.2 Gen 2x2 - Résistant aux chutes, à l'eau et à la poussière",PNY,1 To,PSD0CS3060-1TB-RB,SSD externe,"99,86",cdiscount.com,DISQUE DUR
Disque dur externe - TOSHIBA - CANVIO BASICS - 4 To - Noir,TOSHIBA,4 To,HDTB540EK3CA,Disque dur - externe (portable),"123,68",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"74,89",cdiscount.com,DISQUE DUR
Disque dur externe portable TD® 4To USB3.0 Transfert haute vitesse mobile12x7.2x1 cm avec sac de rangement en tissu de poch HDD,,,,,"69,9",cdiscount.com,DISQUE DUR
SSD Externe - CRUCIAL - X6 Portable SSD - 1To - USB-C (CT1000X6SSD9),CRUCIAL,1 To,CT1000X6SSD9,Lecteur à semi-conducteurs - externe (portable),"70,68",cdiscount.com,DISQUE DUR
SSD Portable - PNY - RP60 - 2 To - USB 3.2 Gen 2x2,PNY,2 To,PSD0CS3060-2TB-RB,SSD portable,"196,33",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SAMSUNG SSD Externe T5 Evo 8 To MU-PH8T0S/EU,SAMSUNG,8 To,MU-PH8T0S/EU,Disque SSD externe,"489,99",cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 500GB",PNY,500 GB,SSD7CS900-500-RB,Disque SSD CS900,"32,99",cdiscount.com,DISQUE DUR
Disque dur externe Wd My Passport™ 5To,WESTERN DIGITAL,5 To,WDBPKJ0050BBK-WESN,Disque dur - externe (portable),"129,99",cdiscount.com,DISQUE DUR
"CRUCIAL - Disque SSD Interne - BX500 - 500go - 2,5"" pouces (CT500BX500SSD1)",CRUCIAL,500 Go,CT500BX500SSD1,Lecteur à semi-conducteurs - interne,"33,99",cdiscount.com,DISQUE DUR
Seagate SSD 1To Expansion Card for Xbox Series X/S (STJR1000400),SEAGATE,2 To,STJR1000400,,"157,9",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 4To - 5 400 tr/min - 3.5""",SEAGATE,4 To,ST4000DM004,Disque dur - interne,"117,29",cdiscount.com,DISQUE DUR
TOSHIBA - Disque Dur Externe - Canvio basics - 1 To - USB 3.0 (HDTB410EK3AA),TOSHIBA,1 To,HDTB410EK3AA,Disque dur - externe (portable),"62,32",cdiscount.com,DISQUE DUR
SSD interne - CRUCIAL - E100 - 1 To - PCIe Gen4 NVMe M.2 - Jusqu’à 5000 Mo/s,CRUCIAL,1 To,CT1000E100SSD8,Disque dur SSD interne,"55,99",cdiscount.com,DISQUE DUR
INN Disque dur externe 500 Go USB3.0 compatible avec le système Winxp+Windows7/8/10/11+OS transfert haute vitesse du disque dur,,,,,"38,9",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"74,99",cdiscount.com,DISQUE DUR
Disque Dur Externe - KingSpec - Z5 Series - 2 To - 20Gbps USB 3.2 Type C - Noir avec RGB,KINGSPEC,2 To,,SSD Externe,"125,99",cdiscount.com,DISQUE DUR
"Disque dur externe portable - OMABETA - YD0018 - 2 To - USB3.0 - 2.5""",OMABETA,,,Disque dur externe portable,"26,07",cdiscount.com,DISQUE DUR
Disque dur externe Wd My Passport™ 1 To,WESTERN DIGITAL,1 To,WDBYVG0010BBK-WESN,Disque dur - externe (portable),"64,99",cdiscount.com,DISQUE DUR
WD - Disque Dur Externe - WD Elements™ - 1To - USB 3.0 (WDBUZG0010BBK-WESN),WESTERN DIGITAL,1 To,WDBUZG0010BBK-WESN,Disque dur - externe (portable),"67,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque Dur Externe - KingSpec - Z5 Series - 2 To - 20Gbps USB 3.2 Type C - Noir avec RGB,KINGSPEC,2 To,,SSD Externe,"125,99",cdiscount.com,DISQUE DUR
"Disque dur externe SSD USB 3.1, 4 To-2 To-1 To-500 Go haute vitesse pour Windows XP, disque dur externe portable SSD Noir 4 To",,,,,"34,9",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe - INTENSO - 2.5' - 5To - Noir,INTENSO,5 To,6021513,Disque dur externe,"122,07",cdiscount.com,DISQUE DUR
"Disque dur externe portable - ONEVER - 2 To - USB 3.0 - 7200 tr/min - 2,5 pouces",,2T,,disque dur,"24,22",cdiscount.com,DISQUE DUR
Disque dur externe INN® HDD Type-C USB2.0 compact portable vitesse normale 2-10 Mo/s avec sac de rangement en tissu de poche argent,,4 To,,,"24,9",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"INN Disque Dur Interne 2To SSD 2,5 SATA III pouces vitesse de transmission 560 M/s convient aux ordinateurs de bureau et portables",,,,,"38,9",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 2To - 5 400 tr/min - 2.5""",SEAGATE,2 To,ST2000LM015,Disque dur - interne,"89,01",cdiscount.com,DISQUE DUR
Disque dur interne Seagate Barracuda 8 To SATA III - 3.5 pouces - 7200 RPM,SEAGATE,8 To,,Disque dur - interne,"163,21",cdiscount.com,DISQUE DUR
"CRUCIAL - Disque SSD Interne - BX500 - 2To - 2,5"" pouces (CT2000BX500SSD1)",CRUCIAL,2 To,CT2000BX500SSD1,Lecteur à semi-conducteurs - interne,"112,99",cdiscount.com,DISQUE DUR
Disque dur externe - FDIT - 500 Go - USB 2.0 - 2.5 pouces - Portable et rapide,,500 Go,,Disque dur externe,"29,67",cdiscount.com,DISQUE DUR
Disque dur externe Wd My Passport 2TB Portable Drive (Noir),WESTERN DIGITAL,2 To,WDBYVG0020BBK-WESN,Disque dur - externe (portable),"80,99",cdiscount.com,DISQUE DUR
SSD 2T Disque Dur Externe Portable HDD Or avec OTG Adaptateur Type-C USB + Pochette de Stockage en Tissu,,2To,,Disque dur externe portable,"29,99",cdiscount.com,DISQUE DUR
Disque dur externe - INN® - 8 To - USB 3.0 - Type-C - Portable avec organisateur en cuir,,8 To,,Disque dur externe,"89,9",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - NAS IronWolf - 4To -  3.5"" - 5400 tr/min (ST4000VN006)",SEAGATE,4 To,ST4000VN006,Disque dur interne,"129,99",cdiscount.com,DISQUE DUR
"SSD Externe - SanDisk Extreme® - 2To - USB 3.2 Gen 2 - Imperméable, antipoussière - Noir",SANDISK,2 To,SDSSDE61-2T00-G25,Lecteur à semi-conducteurs - externe (portable),"147,99",cdiscount.com,DISQUE DUR
Disque Dur Externe Desktop - SEAGATE - Expansion Portable - 4 To - USB 3.0 (STKP4000400),SEAGATE,4 To,STKP4000400,Disque dur - externe (de bureau),"111,52",cdiscount.com,DISQUE DUR
SSD Externe - SanDisk® - 1To - Antichoc - Imperméable - Chiffrement logiciel,SANDISK,1 To,SDSSDE30-1T00-G25,Lecteur à semi-conducteurs - externe (portable),"86,99",cdiscount.com,DISQUE DUR
WD - Disque dur Externe - WD Elements™ - 2To - USB 3.0 (WDBU6Y0020BBK-WESN),WESTERN DIGITAL,2 To,WDBU6Y0020BBK-WESN,Disque dur - externe (portable),"94,09",cdiscount.com,DISQUE DUR
"CRUCIAL - Disque SSD Interne - BX500 - 1To - 2,5"" pouces (CT1000BX500SSD1)",CRUCIAL,1 To,CT1000BX500SSD1,Lecteur à semi-conducteurs - interne,"75,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SSD interne Crucial SSD P3 1To NVME (CT1000P3SSD8),CRUCIAL,1 To,CT1000P3SSD8,Lecteur à semi-conducteurs - interne,"59,99",cdiscount.com,DISQUE DUR
"Disque SSD Intenso - 240 Go - interne M.2 2280 SATA 6Gb-s - Antichoc, TRIM, S.M.A.R.T.",INTENSO,240 Go,3833440,Disque SSD - interne,39,cdiscount.com,DISQUE DUR
PNY CS1030 1TB M.2 NVMe PCIe Gen3,PNY,1 To,M280CS1030-1TB-RB,Lecteur à semi-conducteurs - interne,"54,99",cdiscount.com,DISQUE DUR
Disque dur SSD CRUCIAL P3 Plus 2 To PCIe 4.0 NVMe M.2 2280,CRUCIAL,2 To,CT2000P3PSSD8,Lecteur à semi-conducteurs - interne,"124,99",cdiscount.com,DISQUE DUR
"CRUCIAL - Disque SSD Interne - BX500 - 4To - 2,5"" pouces (CT4000BX500SSD1)",CRUCIAL,4 To,CT4000BX500SSD1,Lecteur à semi-conducteurs - interne,"234,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SSD Interne - SAMSUNG - 990 EVO Plus 4 To - NVMe M.2 PCIe 4.0x4 - Vitesse lecture jusqu'à 7 250 Mo/s,SAMSUNG,4 To,MZ-V9S4T0BW,Lecteur à semi-conducteurs - interne,"318,99",cdiscount.com,DISQUE DUR
Disque dur SSD CRUCIAL P3 2 To 3D NAND NVMe PCIe M.2,CRUCIAL,2 To,CT2000P3SSD8,Lecteur à semi-conducteurs - interne,"119,99",cdiscount.com,DISQUE DUR
Disque dur SSD CRUCIAL P3 500 Go 3D NAND NVMe PCIe M.2,CRUCIAL,500 Go,CT500P3SSD8,Lecteur à semi-conducteurs - interne,"39,09",cdiscount.com,DISQUE DUR
SAMSUNG SSD Interne 990 EVO 2 To NVMe M.2 PCIe 4.0 x 4 - 5000 Mo/s - MZ-V9E2T0BW,SAMSUNG,2 To,MZ-V9E2T0BW,,"161,16",cdiscount.com,DISQUE DUR
"Disque SSD Interne KINGSPEC P3 - 1 To - SATA III 2,5""",KINGSPEC,1 To,,Lecteur à semi-conducteurs - interne,"59,99",cdiscount.com,DISQUE DUR
SAMSUNG SSD Interne 990 PRO 4 To MZ-V9P4T0BW,SAMSUNG,4 To,MZ-V9P4T0BW,Disque SSD Interne,"329,99",cdiscount.com,DISQUE DUR
"PNY CS2230 500GB SSD Interne M.2 NVMe Gen3, jusqu'à 3300MB/s - M280CS2230-500-RB",PNY,500 Go,M280CS2230-500-RB,SSD interne,"31,99",cdiscount.com,DISQUE DUR
SEAGATE TECHNOLOGY - IronWolf - Disque dur interne - 8To - Pour NAS IronWolf,SEAGATE,8 To,ST8000VN004,Disque dur interne,"207,6",cdiscount.com,DISQUE DUR
Disque SSD Interne - CRUCIAL - P310 1To PCIe Gen4 NVMe M.2 SSD (CT1000P310SSD8),CRUCIAL,1 To,CT1000P310SSD8,Disque dur interne,"79,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque SSD Interne - KINGSPEC - XG Series - 512 Go - M.2 2280 NVME PCIe Gen4 x 4,KINGSPEC,512 Go,,Lecteur à semi-conducteurs - interne,"52,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 8To - 5400trs/min - 3,5""",SEAGATE,8 To,ST8000DM004,Disque dur - interne,"161,99",cdiscount.com,DISQUE DUR
"PNY CS900 Disque dur SSD 2To 2.5""",PNY,2 To,SSD7CS900-2TB-RB,Lecteur à semi-conducteurs - interne,"109,99",cdiscount.com,DISQUE DUR
"Crucial T500 SSD 2 To PCIe Gen4 NVMe M.2 SSD Interne Gaming, jusqu’à 7200Mo/s,  Disque Dur SSD- CT2000T500SSD8",CRUCIAL,2 To,CT2000T500SSD8,Disque dur interne,"165,5",cdiscount.com,DISQUE DUR
