Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
"Blackview WAVE 8C Smartphone, 6Go (2+4) RAM /64Go ROM, 6.56"", 13MP, 4700mAh Téléphone Portable Android 14 GPS Double SIM 4G - Bleu",BLACKVIEW,2 Go + 4 Go extension de RAM virtuelle,(2+4) Go RAM + 64 Go ROM,Bleu,,WAVE 8C,"72,99",cdiscount.com,SMARTPHONE
XIAOMI REDMI 14C Smartphone 4G 8+256Go Bleu Double SIM,XIAOMI,,,,,,"114,82",cdiscount.com,SMARTPHONE
"Blackview WAVE 8 Smartphone 6.56"" 12Go RAM + 256Go ROM 5000mAh 13MP Caméra Téléphone portable 4G Double SIM Android 14 GPS - Noir",BLACKVIEW,4Go RAM + jusqu’à 8Go d’extension,256 Go,Noir,,WAVE 8,"99,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A33 128Go 5G Noir,SAMSUNG,6 Go,128 Go,Noir,A336128N,Galaxy A33 5G,193,cdiscount.com,SMARTPHONE
GOOGLE Pixel 7 - 128 Go - Noir,GOOGLE,8 Go de RAM LPDDR5,128 Go,Noir,GA03923-GB,Google Pixel 7,"224,49",cdiscount.com,SMARTPHONE
Samsung Galaxy A35 Smartphone 128 Go 5G Bleu nuit,SAMSUNG,6 Go,128 Go,Bleu nuit,SM-A356BZKBEUB,A35,"269,9",cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C 8 Go+256 G - Smartphone 4G-LTE Dual SIM - Helio G81-Ultra 8- Noir - avec adaptateur,XIAOMI,,,,,,"109,28",cdiscount.com,SMARTPHONE
APPLE Iphone X 64Go Gris sidéral - Reconditionné - Excellent état,APPLE,,,,MQAC2ZD/A,,192,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Samsung Galaxy Z Flip6 Smartphone 256 Go Gris,SAMSUNG,12 go,256 Go,Gris,SM-F741BZSGEUB,Z Flip6,"899,99",cdiscount.com,SMARTPHONE
"DOOGEE S200 - Smartphone Robuste 5G - 10100mAh - 32Go+256Go - 100MP - 6.72""FHD+ - 120Hz - Android 14 - Double Écran - NFC - Noir",DOOGEE,12Go+10Go d’extension,32Go+256Go,Noir,,DOOGEE S200,"279,99",cdiscount.com,SMARTPHONE
Xiaomi Redmi Note 14 pro Smartphone 4G 8Go RAM 256Go ROM - Noir,XIAOMI,,4G  8Go RAM 256Go ROM,,,,"221,99",cdiscount.com,SMARTPHONE
XIAOMI Redmi 12C 128Go 4G Gris,XIAOMI,RAM LPDDR4X 4 Go,128Go,Gris,REDMI12C4128G,Redmi 12C,"99,66",cdiscount.com,SMARTPHONE
Samsung Galaxy S24 Plus Smartphone 256 Go Noir,SAMSUNG,12Go,256 Go,Noir,SM-S926BZKDEUB,S24 Plus,"613,8",cdiscount.com,SMARTPHONE
APPLE iPhone 16 Pro Max 256GB Desert Titanium,APPLE,,256 Go,Desert Titanium,MYWX3ZD/A,iPhone 16 Pro Max,1399,cdiscount.com,SMARTPHONE
Samsung Galaxy A51 128 Go Noir,SAMSUNG,4 Go,128 Go,,SM-A515FZKVEUB,,"126,89",cdiscount.com,SMARTPHONE
"Telephone Incassable DOOGEE S41 Plus 8Go+128Go ROM,Android 13 Smartphone Incassable,6300mAh 5.5 pouces Dual SIM/NFC/GPS - Vert",DOOGEE,8Go (4Go + jusqu'à 4go RAM étendue),8+128 Go,Vert,,S41PLUS,"119,99",cdiscount.com,SMARTPHONE
