Nom du produit,Marque,Capacité,Référence,Type de périphérique,Prix,Site web,Catégorie
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"HDD 2.5"" Disque Dur Externe Mobile Portable Stockage 4To 4TB Argent 12*7*1cm USB 3.0 avec Pochette Sac de Stockage en Tissu",,,,,"29,9",cdiscount.com,DISQUE DUR
Disque dur externe INN® 8TB Type-C USB3.0 36-38 Mo/s HDD portable transfert haute vitesse mobile avec organisateur en cuir pochette,,8 To,,,"89,9",cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 250GB",PNY,250 GB,SSD7CS900-250-RB,Disque SSD CS900,"14,99",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"69,99",cdiscount.com,DISQUE DUR
Disque dur externe INN® Type-C disque dur externe mobile Système de fenêtre de support et système Android Disque amovible portable,,,,,"29,9",cdiscount.com,DISQUE DUR
"CRUCIAL - Disque SSD Interne - BX500 - 500go - 2,5"" pouces (CT500BX500SSD1)",CRUCIAL,500 Go,CT500BX500SSD1,Lecteur à semi-conducteurs - interne,"34,5",cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 500GB",PNY,500 GB,SSD7CS900-500-RB,Disque SSD CS900,"29,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
TOSHIBA - Disque dur Externe - Canvio basics - 2To - USB 3.2 (HDTB420EK3AA),TOSHIBA,,TOS4260557512357,,"79,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SSD Interne - SAMSUNG - 990 EVO Plus 4 To - NVMe M.2 PCIe 4.0x4 - Vitesse lecture jusqu'à 7 250 Mo/s,SAMSUNG,4 To,MZ-V9S4T0BW,Lecteur à semi-conducteurs - interne,"279,99",cdiscount.com,DISQUE DUR
SAMSUNG SSD Externe T7 Shield Bleu 2 To MU-PE2T0R/EU,SAMSUNG,2 To,MU-PE2T0R/EU,Lecteur à semi-conducteurs - externe (portable),"209,99",cdiscount.com,DISQUE DUR
"Disque dur Interne - WESTERN DIGITAL - Red Plus - 4To - 3.5"" - Dédié NAS - 5400 RPM Class - SATA 6 GB/s (WD40EFPX)",WESTERN DIGITAL,4 To,WD40EFPX,Disque dur interne,"105,99",cdiscount.com,DISQUE DUR
"PNY - CS900 - SSD - 1 To - 2,5"" - SSD7CS900-1TB-RB",PNY,1 To,SSD7CS900-1TB-RB,Lecteur à semi-conducteurs - interne,"54,99",cdiscount.com,DISQUE DUR
"PNY CS900 Disque dur SSD 2To 2.5""",PNY,2 To,SSD7CS900-2TB-RB,Lecteur à semi-conducteurs - interne,"89,9",cdiscount.com,DISQUE DUR
"CRUCIAL - Disque SSD Interne - BX500 - 1To - 2,5"" pouces (CT1000BX500SSD1)",CRUCIAL,1 To,CT1000BX500SSD1,Lecteur à semi-conducteurs - interne,"59,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe - TOSHIBA - CANVIO BASICS - 4 To - Noir,TOSHIBA,4 To,HDTB540EK3CA,Disque dur - externe (portable),"123,68",cdiscount.com,DISQUE DUR
"Disque dur - TOSHIBA - DT01ACA050 - 500 Go - 3.5"" - SATA III - 7200 tr/min",TOSHIBA,500 Go,,Disque dur,"13,5",cdiscount.com,DISQUE DUR
Disque dur externe INN® HDD Type-C USB2.0 compact portable vitesse normale 2-10 Mo/s avec sac de rangement en tissu de poche argent,,4 To,,,"26,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque Dur Externe Desktop - SEAGATE - Expansion Portable - 4 To - USB 3.0 (STKP4000400),SEAGATE,4 To,STKP4000400,Disque dur - externe (de bureau),"114,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur interne Seagate Barracuda 8 To SATA III - 3.5 pouces - 7200 RPM,SEAGATE,8 To,,Disque dur - interne,"163,05",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
