Nom du produit,Marque,Stockage,Référence,Taille écran,CPU,Prix,Site web,Catégorie
PC Portable LENOVO IdeaPad 3 15IJL6 | Chrome OS - 15'' FHD - Celeron N4500 - RAM 4 Go - Stockage 64 Go - AZERTY,LENOVO,64 Go,82N4004GFR,,Intel Celeron N4500,"259,99",cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad 3 15IJL6 | Chrome OS - 15'' FHD - Celeron N4500 - RAM 4 Go - Stockage 64 Go - AZERTY,LENOVO,64 Go,82N4004GFR,,Intel Celeron N4500,"269,99",cdiscount.com,ORDINATEUR
PC Portable Chromebook Plus LENOVO IdeaPad 3 14IAN8 | Chrome OS - 14'' FHD - Core i3-N305 - RAM 8Go - Stockage 128Go - AZERTY,LENOVO,128 Go,83BN002PFR,,Intel Core i3-N305,"319,99",cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad 1 15ALC7 | Windows 11 - 15'' FHD - Ryzen 7 5700U - RAM 16 Go - SSD 1 To - AZERTY,LENOVO,SSD,82R400R7FR,Oui,AMD Ryzen™ 7 5700U,"599,99",cdiscount.com,ORDINATEUR
"11.6"" PC Portable Intel Celeron N4020 8Go RAM 256Go SSD Win11 pro Écran tactile Rotation à 360° Bureautique Ordinateur portable",,,,,Intel Celeron N4020C (1.1 Ghz),"209,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"Apple - 13,6"" MacBook Air M4 (2025) - RAM 16Go - Stockage 256Go - CPU 10 cœurs - GPU 8 cœurs - Argent",APPLE,SSD,MW0W3FN/A,Oui,Apple M4,1199,cdiscount.com,ORDINATEUR
PC portable Samsung Samsung Galaxy Book4 Edge Ordinateur Portable avec IA 15'',SAMSUNG,,,,,"699,99",cdiscount.com,ORDINATEUR
Ordinateur portable - ASUS - ASUS TUF Gaming F15 FA506NF-HN008W - AMD Ryzen 5 - 7535HS / jusqu'à 4.5 GHz - Win 11 Home - GF RTX 205,ASUS,,90NR0JE7-M002R0,,,"632,79",cdiscount.com,ORDINATEUR
Ordinateur portable Lenovo ThinkPad T430 - Intel Core i5-3320M - 8Go RAM - 500Go HDD - Windows 10,LENOVO,,,,Intel Core i5,179,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable ASUS VivoBook 15 S1504 | Sans Windows - 15,6"" FHD 60Hz - Intel Core i5-1334U - RAM 16Go - 512Go SSD",ASUS,,90NB10J2-M02EH0,Oui,Intel Core i5-1334U / 1.3 GHz,"469,99",cdiscount.com,ORDINATEUR
"PC Portable ASUS VivoBook 14 E410 | Win 11 - 14"" FHD 60Hz - Intel Celeron N4500 - RAM 8Go - 128Go eMMC",ASUS,,90NB0UA5-M016A0,Oui,Intel Celeron N4500 / 1.1 GHz,"279,99",cdiscount.com,ORDINATEUR
"PC Portable ASUS VivoBook 17 S1704 | Win 11 - 17,3'' HD+ - Intel Core i5 1235U - RAM 16Go - 512Go SSD",ASUS,,90NB10F1-M00A20,Oui,Intel Core i5 1235U / 1.3 GHz,"599,99",cdiscount.com,ORDINATEUR
"Apple - 13,6"" MacBook Air M4 (2025) - RAM 16Go - Stockage 256Go - CPU 10 cœurs - GPU 8 cœurs - Lumière Stellaire",APPLE,SSD,MW0Y3FN/A,Oui,Apple M4,1199,cdiscount.com,ORDINATEUR
"Ordinateur portable - LENOVO - 82QY000VFR - 15.6"" Full HD - Celeron N4500 - 8 Go RAM - 256 Go SSD",LENOVO,,,,,299,cdiscount.com,ORDINATEUR
"PC portable Auusda - 15,6"" - Intel Alder Lake N 95 - RAM 16Go - Stockage 512Go SSD FHD - Windows 11",,SSD,,Oui,Intel Alder Lake-N95,"286,99",cdiscount.com,ORDINATEUR
"PC Portable KUU Yepbook 15- 15,6"" FHD- Intel Alder Lake N 95 - RAM 16Go - Stockage 1To SSD - Windows 11 Pro",,,,Oui,Intel Alder Lake N95,"349,99",cdiscount.com,ORDINATEUR
"PC Portable HP 15s-fq0024nf - Windows  11 - 15,6"" FHD - Celeron N4120 - RAM 4Go - 128Go SSD - Microsoft 365 Personnel inclus 1 an",HP,,9J3L5EA#ABF,Oui,Intel Celeron N4120,"279,99",cdiscount.com,ORDINATEUR
"ACEMAGIC Ordinateur Portable,15,6'' FHD 16Go DDR4 512Go SSD, intel Quad-Core N97(Jusqu'à 3,60 GHz),WiFI,BT5, USB3.2,Type C,(Argent)",,512Go,,"L'écran IPS de 15,6 pouces, doté d'une résolution de 1920*1080",Intel Quad-Core 12th Alder Lake N 97,"279,99",cdiscount.com,ORDINATEUR
