Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip3 128Go Vert,SAMSUNG,8 Go,128 Go,Vert,F711128 V,Samsung Galaxy Z Flip3,"268,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip3 128Go Noir,SAMSUNG,8 Go,128 Go,Noir,F711128 N,Samsung Galaxy Z Flip3,"269,99",cdiscount.com,SMARTPHONE
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double SIM 4G - GPS - Noir",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Noir,,N55 Pro,"99,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 12 128Go Noir - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MGJA3F/A,,"298,99",cdiscount.com,SMARTPHONE
"Smartphone HOTWAV Note 13 - Bleu - 8Go+128Go - Écran 6,6"" HD+ - Caméra 50MP - 5160mAh - Android 13 - GPS",HOTWAV,8Go(4+4extensible),8Go + 128Go,Bleu,,HOTWAV Note 13,"82,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Smartphone 4G Pro - 5.3"" Plein HD - Débloqué - Androide 10.0 - smartphone pas cher",TEENO,,,,,,"59,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"369,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Samsung Galaxy S24 FE Smartphone 256 Go Bleu,SAMSUNG,8 Go,256 Go,Bleu,SM-S721BLBGEUB,S24FE,"799,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Motorola Moto G24 Power 8 Go/256 Go Bleu (Ink Blue) Double SIM,MOTOROLA,,,,,,128,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
