Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
,,,,,,,,cdiscount.com,SMARTPHONE
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double SIM 4G - GPS - Noir",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Noir,,N55 Pro,"108,99",cdiscount.com,SMARTPHONE
"Smartphone Robuste DOOGEE S118 PRO 5G WIFI 6.6"" FHD+ 120Hz 24Go+512Go Android 14 Batterie 10800mAh 108MP NFC Dual SIM - Rouge",DOOGEE,24Go (8 Go + jusqu'à 16 Go de RAM étendue),24Go (8 Go + jusqu'à 16 Go de RAM étendue) + 512 Go de ROM,,,S118PRO,"309,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"345,99",cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"84,99",cdiscount.com,SMARTPHONE
XIAOMI - REDMI 13C - 128Go - Noir minuit,XIAOMI,LPDDR4X extensible jusqu’à 16 Go,128Go,Noir minuit,REDMI13C4128N,Redmi 13C,"84,9",cdiscount.com,SMARTPHONE
XIAOMI REDMI NOTE 10 5G 128 Go Gris,XIAOMI,4 Go - LPDDR4X SDRAM,128 Go,Gris,REDMINOTE105G128 G,,"93,99",cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Bleu,HUAWEI,4 Go,128 Go,Bleu,51095RHQ,,"81,95",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 12 128Go Bleu - Reconditionné - Excellent état,APPLE,4 Go,128 Go,Bleu,MGJE3F/A,,"266,88",cdiscount.com,SMARTPHONE
"DOOGEE V40 5G Telephone Portable Incassable 32Go+512Go, 6.78"" 2.4K Caméra AI 108MP 8680mAh Smartphone Robuste Android 14 - Rouge",DOOGEE,32Go (12Go + jusqu'à 20go RAM étendue),32 Go (12 Go + jusqu'à 20 Go de RAM étendue) + 512 Go de ROM,,,V40,"339,99",cdiscount.com,SMARTPHONE
Smartphone Blackview SHARK 8 Android13 Téléphone Portable 5000mAH -Écran 2.4K 6.78'' 120Hz -16GB+256GB -64MP+13MP-NFC/OTC -Noir,BLACKVIEW,8 Go RAM + jusqu'à 8Go d'extension,256 Go,Noir,,"Blackview Shark 8 Smartphone 6.78"" 2.4K Écran 16Go","146,99",cdiscount.com,SMARTPHONE
XIAOMI Redmi 13C 256Go Bleu,XIAOMI,LPDDR4X extensible jusqu’à 16 Go1,256 Go,Bleu marine,REDMI13C8256B,REDMI 13C,"112,88",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 14 128GB Blue - Reconditionné - Excellent état,APPLE,,128 Go,Blue,MPVN3ZD/A,Iphone 14,418,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"99,99",cdiscount.com,SMARTPHONE
"Smartphone 4G Pro - 5.3"" Plein HD - Débloqué - Androide 10.0 - smartphone pas cher",TEENO,,,,,,"63,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 13 Pro 256 Go Graphite (2021) - Reconditionné - Excellent état,APPLE,,256 Go,Graphite,MLVE3F/A,,"459,19",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI - Redmi Note 14 4G - 8 Go + 256 Go - Midnight Black,XIAOMI,8 Go,"256 Go, extensible jusqu’à 1To via micro-SD",Noir minuit,RN148256N,Redmi Note 14 4G,"216,48",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Blackview SHARK 8 Android13 Téléphone Portable 5000mAH -Écran 2.4K 6.78'' 120Hz -16GB+256GB -64MP+13MP-NFC/OTC -Bleu,BLACKVIEW,8 Go RAM + jusqu'à 8Go d'extension,256 Go,Bleu,,"Blackview Shark 8 Smartphone 6.78"" 2.4K Écran 16Go","146,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Bleu (8 Go / 256 Go) - Smartphone 4G-LTE Dual SIM - Helio G81-Ultra 8-Core 2.0 GHz - RAM 8 Go - Ecran tactile 6.88',XIAOMI,,,,,,"119,89",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S21 Plus 128Go Noir.,SAMSUNG,8 Go - LPDDR5 SDRAM,128 Go,Noir,G996128 N,,"199,99",cdiscount.com,SMARTPHONE
"Smartphone 4G - Marque - Modèle - 6.3"" Plein HD - 64Go - Débloqué - Android 10.0",TEENO,4 Go,,,,,"65,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Smartphone - HOTWAV - Note 15 Pro - Cadeaux Noël-Écran 6,6"" HD+ - 12Go RAM - 128Go ROM - 5160mAh-Bleu Menthe",HOTWAV,12Go(4+8Virtuelle),12(4+8Virtuel)Go+128Go,Bleu menthe,,HOTWAV Note 15 Pro,"99,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S21 128Go Gris,SAMSUNG,8 Go - LPDDR5 SDRAM,128 Go,Gris,G991128 G,Samsung Galaxy S21,"209,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Smartphone Xiaomi Redmi Note 13 Pro 5G 8Go 256 Go Noir Batterie 5100 mAh NFC Écran AMOLED 6.67""",XIAOMI,"RAM LPDDR5, Stockage UFS 3.1",8Go + 256Go,Noir,RN13PRO5G8256N,Redmi Note 13 Pro,"246,95",cdiscount.com,SMARTPHONE
HONOR X6b 128Go 4G - Noir,HONOR,4go,128Go,Noir,,HONOR X6b,"99,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Blackview BL8000 Smartphone Incassable 5G 24Go+512Go 6.78"" 8800mAh 50MP+16MP Android 13 Téléphone Débloque WiFi6 - Noir",BLACKVIEW,12 Go + jusqu'à 12 Go d'extension,512 Go,Noir,,Blackview BL8000,"314,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Samsung Galaxy A15 5G Smartphone 128 Go Bleu nuit,SAMSUNG,4 Go,128 Go,Bleu nuit,SM-A156BZKDEUB,Samsung Galaxy A15 5G,"199,95",cdiscount.com,SMARTPHONE
APPLE iPhone 12 128Go Bleu - Reconditionné - Excellent état,APPLE,4 Go,128 Go,Bleu,MGJE3F/A,,"265,78",cdiscount.com,SMARTPHONE
