Nom du produit,Marque,Capacité,Référence,Type de périphérique,Prix,Site web,Catégorie
SSD interne - CRUCIAL - E100 - 1 To - PCIe Gen4 NVMe M.2 - Jusqu’à 5000 Mo/s,CRUCIAL,1 To,CT1000E100SSD8,Disque dur SSD interne,"55,99",cdiscount.com,DISQUE DUR
SSD Interne - SAMSUNG - 990 EVO Plus 1 To - NVMe M.2 PCIe 4.0x4 - Vitesse lecture jusqu'à 7 150 Mo/s,SAMSUNG,1 To,MZ-V9S1T0BW,Lecteur à semi-conducteurs - interne,"74,9",cdiscount.com,DISQUE DUR
"HDD 2.5"" Disque Dur Externe Mobile Portable Stockage 4To 4TB Argent 12*7*1cm USB 3.0 avec Pochette Sac de Stockage en Tissu",,,,,"20,49",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 2To,TOSHIBA,2 To,HDTB520EK3AA,Disque dur - externe (portable),"77,89",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 1To,TOSHIBA,1 To,HDTB510EK3AA,Disque dur - externe (portable),"70,59",cdiscount.com,DISQUE DUR
Disque dur externe INN® Type-C disque dur externe 1To pour PC ordinateur portable bureau disque dur externe portable disque mobile,,,,,"26,9",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 1To,TOSHIBA,1 To,HDTB510EK3AA,Disque dur - externe (portable),"65,27",cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 250GB",PNY,250 GB,SSD7CS900-250-RB,Disque SSD CS900,"14,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
WD - Disque dur Externe - WD Elements™ - 2To - USB 3.0 (WDBU6Y0020BBK-WESN),WESTERN DIGITAL,2 To,WDBU6Y0020BBK-WESN,Disque dur - externe (portable),"95,79",cdiscount.com,DISQUE DUR
Disque SSD Interne KINGSPEC NT Series 512 Go M.2 SATA 2280,KINGSPEC,512 Go,,Lecteur à semi-conducteurs - interne,"29,99",cdiscount.com,DISQUE DUR
Disque dur externe Wd My Passport™ 5To,WESTERN DIGITAL,5 To,WDBPKJ0050BBK-WESN,Disque dur - externe (portable),"164,35",cdiscount.com,DISQUE DUR
"Disque Dur Externe 2.5"" USB 3.0 1To Bleu - Pour PC, Mac, Ordinateur De Bureau, Ordinateur Portable, Chromebook",,1 To,,Disque dur,"33,78",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur interne - TOSHIBA - NAS N300 - 14 To - 7200 tpm - Haute fiabilité - RAID,TOSHIBA,14 To,HDWG51EEZSTA,Disque dur interne,"337,91",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SEAGATE Disque dur externe - HDD 2 To - God of War  - 6.72,SEAGATE,2 To,,Disque dur externe,"99,99",cdiscount.com,DISQUE DUR
SAMSUNG SSD Externe T7 Shield Bleu 2 To MU-PE2T0R/EU,SAMSUNG,2 To,MU-PE2T0R/EU,Lecteur à semi-conducteurs - externe (portable),"184,47",cdiscount.com,DISQUE DUR
Disque dur SSD externe - INTENSO - PREMIUM - 1 To - Gris,INTENSO,1 To,3823460,Disque dur SSD externe,"79,99",cdiscount.com,DISQUE DUR
Disque dur externe portable TD® 4To USB3.0 Transfert haute vitesse mobile12x7.2x1 cm avec sac de rangement en tissu de poch HDD,,,,,"69,9",cdiscount.com,DISQUE DUR
Seagate SSD 1To Expansion Card for Xbox Series X/S (STJR1000400),SEAGATE,2 To,STJR1000400,,"157,9",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 4To - 5 400 tr/min - 3.5""",SEAGATE,4 To,ST4000DM004,Disque dur - interne,"117,29",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur SSD externe - INTENSO - PREMIUM - 2 To - Gris,INTENSO,2 To,3823470,Disque dur SSD externe,"126,39",cdiscount.com,DISQUE DUR
PNY - CS2230 SOLID STATE DRIVE - Disque dur SSD interne - 2 To,PNY,2 To,M280CS2230-2TB-RB,Disque dur SSD interne,"109,99",cdiscount.com,DISQUE DUR
Disque dur externe - TOSHIBA - CANVIO BASICS - 4 To - Noir,TOSHIBA,4 To,HDTB540EK3CA,Disque dur - externe (portable),"123,68",cdiscount.com,DISQUE DUR
Disque dur externe Wd DISQUE DUR EXTERNE WD ELEMENT 5TO,WESTERN DIGITAL,5 To,WDBU6Y0050BBK-WESN,Disque dur - externe (portable),"129,4",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe Wd My Passport™ 5To,WESTERN DIGITAL,5 To,WDBPKJ0050BBK-WESN,Disque dur - externe (portable),"129,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe Tbest - 320 Go - USB 3.0 - Plug and Play - Stockage portable,,,,,"28,97",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 500GB",PNY,500 GB,SSD7CS900-500-RB,Disque SSD CS900,"31,2",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"INN Disque Dur Interne 2To SSD 2,5 SATA III pouces vitesse de transmission 560 M/s convient aux ordinateurs de bureau et portables",,,,,"38,9",cdiscount.com,DISQUE DUR
"Disque dur externe portable - OMABETA - YD0018 - 2 To - USB3.0 - 2.5""",OMABETA,,,Disque dur externe portable,"25,73",cdiscount.com,DISQUE DUR
TOSHIBA - Disque Dur Externe - Canvio basics - 1 To - USB 3.0 (HDTB410EK3AA),TOSHIBA,1 To,HDTB410EK3AA,Disque dur - externe (portable),"62,32",cdiscount.com,DISQUE DUR
WD - Disque Dur Externe - WD Elements™ - 1To - USB 3.0 (WDBUZG0010BBK-WESN),WESTERN DIGITAL,1 To,WDBUZG0010BBK-WESN,Disque dur - externe (portable),"67,99",cdiscount.com,DISQUE DUR
"Disque dur externe portable - ONEVER - 2 To - USB 3.0 - 7200 tr/min - 2,5 pouces",,2T,,disque dur,"16,06",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"71,18",cdiscount.com,DISQUE DUR
SSD externe Sandisk Extreme® Portable NVMe 1To,SANDISK,1 To,SDSSDE61-1T00-G25,Lecteur à semi-conducteurs - externe (portable),"118,87",cdiscount.com,DISQUE DUR
Disque dur externe - A220 - 2 To - USB 3.1 - Rouge,,2 To,,Disque dur externe,"13,11",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"74,99",cdiscount.com,DISQUE DUR
Disque dur externe OMABETA - 2 To - USB 3.0 - Haute vitesse - Plug and Play,OMABETA,2 To,,Disque dur externe,"28,08",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
