Nom du produit,Marque,Capacité,Référence,Type de périphérique,Prix,Site web,Catégorie
"HDD 2.5"" Disque Dur Externe Mobile Portable Stockage 4To 4TB Argent 12*7*1cm USB 3.0 avec Pochette Sac de Stockage en Tissu",,,,,"20,69",cdiscount.com,DISQUE DUR
Disque dur externe INN® Type-C disque dur externe 1To pour PC ordinateur portable bureau disque dur externe portable disque mobile,,,,,"26,9",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 2To,TOSHIBA,2 To,HDTB520EK3AA,Disque dur - externe (portable),"82,29",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 1To,TOSHIBA,1 To,HDTB510EK3AA,Disque dur - externe (portable),"63,1",cdiscount.com,DISQUE DUR
INN Disque dur externe 320G USB3.0 convient pour le divertissement et le bureau disque dur disque dur externe portable disque dur,,,,,"34,9",cdiscount.com,DISQUE DUR
Disque dur externe INN® Type-C disque dur externe mobile Système de fenêtre de support et système Android Disque amovible portable,,,,,"29,9",cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 250GB",PNY,250 GB,SSD7CS900-250-RB,Disque SSD CS900,"14,99",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"69,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe INN® Type-C disque dur externe 1To pour PC ordinateur portable bureau disque dur externe portable disque mobile,,,,,"26,9",cdiscount.com,DISQUE DUR
Disque SSD Interne KINGSPEC NX Series 512 Go M.2 2280 NVMe PCI Express Gen 3.0 x 4,KINGSPEC,512 Go,,Lecteur à semi-conducteurs - interne,"33,99",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 1To,TOSHIBA,1 To,HDTB510EK3AA,Disque dur - externe (portable),"70,19",cdiscount.com,DISQUE DUR
"PNY - CS900 - SSD - 1 To - 2,5"" - SSD7CS900-1TB-RB",PNY,1 To,SSD7CS900-1TB-RB,Lecteur à semi-conducteurs - interne,"54,29",cdiscount.com,DISQUE DUR
WD - Disque dur Externe - WD Elements™ - 2To - USB 3.0 (WDBU6Y0020BBK-WESN),WESTERN DIGITAL,2 To,WDBU6Y0020BBK-WESN,Disque dur - externe (portable),"78,99",cdiscount.com,DISQUE DUR
"Disque dur externe Intenso HDD 2.5"" USB 3 2To",INTENSO,2 To,6021580,Disque dur externe,64,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disques durs externes INN® 5.8x7.5cm disque dur ultra-mince très pratique mobile storage grande capacité disque dur externe bleu,,,,,"24,9",cdiscount.com,DISQUE DUR
Disque dur externe Wd DISQUE DUR EXTERNE WD ELEMENT 5TO,WESTERN DIGITAL,5 To,WDBU6Y0050BBK-WESN,Disque dur - externe (portable),"128,99",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 1To - 7 200 tr/min - 3.5""",SEAGATE,1 To,ST1000DM010,Disque dur - interne,"53,98",cdiscount.com,DISQUE DUR
Disque dur externe portable TD® 4To USB3.0 Transfert haute vitesse mobile12x7.2x1 cm avec sac de rangement en tissu de poch HDD,,,,,"69,9",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"69,89",cdiscount.com,DISQUE DUR
Seagate SSD 1To Expansion Card for Xbox Series X/S (STJR1000400),SEAGATE,2 To,STJR1000400,,"159,9",cdiscount.com,DISQUE DUR
Disque dur externe portable TD® 4To USB3.0 Transfert haute vitesse mobile12x7.2x1 cm avec sac de rangement en tissu de poch HDD,,,,,"69,9",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SAMSUNG - SSD Interne - 970 EVO PLUS - 500Go - M.2 NVMe (MZ-V7S500BW),SAMSUNG,500 Go,MZ-V7S500BW,Lecteur à semi-conducteurs - interne,59,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SSD interne - CRUCIAL - E100 - 480 Go - PCIe Gen4 NVMe M.2 - Jusqu’à 470 Mo/s,CRUCIAL,480 Go,CT480E100SSD8,Disque dur SSD interne,"38,9",cdiscount.com,DISQUE DUR
