Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double Sim 4G - GPS - Bleu",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Bleu,,N55 Pro,"109,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"84,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"369,99",cdiscount.com,SMARTPHONE
"5G Smartphone Robuste FOSSiBOT F109 - 24Go (8+16) RAM/ 256Go ROM 10600mAh 6,75"" 50MP Android 14 IP68 Téléphone GPS Double SIM - Bleu",,8 Go + 16 Go de extension,24Go (8+16) RAM + 256Go ROM,Bleu,,,"213,88",cdiscount.com,SMARTPHONE
Smartphone Blackview SHARK 8 Android13 Téléphone Portable 5000mAH -Écran 2.4K 6.78'' 120Hz -16GB+256GB -64MP+13MP-NFC/OTC -Noir,BLACKVIEW,8 Go RAM + jusqu'à 8Go d'extension,256 Go,Noir,,"Blackview Shark 8 Smartphone 6.78"" 2.4K Écran 16Go","146,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A10 Noir,SAMSUNG,2 Go,32 Go,Noir,SM-A105FZKYXEF,Galaxy A10,82,cdiscount.com,SMARTPHONE
XIAOMI REDMI NOTE 10 5G 128 Go Gris,XIAOMI,4 Go - LPDDR4X SDRAM,128 Go,Gris,REDMINOTE105G128 G,,"93,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S20FE 128Go 5G Bleu,SAMSUNG,6 Go - LPDDR5 SDRAM,128 Go,Bleu,G781 B,,"179,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"84,99",cdiscount.com,SMARTPHONE
"Smartphone 4G Pro - 5.3"" Plein HD - Débloqué - Androide 10.0 - smartphone pas cher",TEENO,,,,,,"63,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A14 5G Noir 64 Go,SAMSUNG,4 Go,64 Go,Noir,SM-A156BZKDEUB,A14 5G,"119,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Smartphone Robuste DOOGEE S118 PRO 5G WIFI 6.6"" FHD+ 120Hz 24Go+512Go Android 14 Batterie 10800mAh 108MP NFC Dual SIM - Rouge",DOOGEE,24Go (8 Go + jusqu'à 16 Go de RAM étendue),24Go (8 Go + jusqu'à 16 Go de RAM étendue) + 512 Go de ROM,,,S118PRO,"294,99",cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Bleu,HUAWEI,4 Go,128 Go,Bleu,51095RHQ,,"80,97",cdiscount.com,SMARTPHONE
APPLE iPhone 13 256 Go Starlight (2021) - Reconditionné - Excellent état,APPLE,,256 Go,Blanc,MLQ73F/A,,"372,73",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 15 128GB Pink (2023) - Reconditionné - Excellent état,APPLE,,128 Go,Rose,MTP13ZD/A,,659,cdiscount.com,SMARTPHONE
Samsung Galaxy A72 128Go 6Go 4G Noir,SAMSUNG,,,,,,189,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI 11T Pro 256Go 5G Bleu,XIAOMI,8 Go,256 Go,Bleu,XIAOMI11TPRO256B,Xiaomi 11T Pro,"229,99",cdiscount.com,SMARTPHONE
"Smartphone 4G Pro - 5.3"" Plein HD - Débloqué - Androide 10.0 - smartphone pas cher",TEENO,,,,,,"63,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 Pro 128 Go Sierra Blue (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Bleu,MLVD3F/A,,"416,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI Redmi 13C 256Go Bleu,XIAOMI,LPDDR4X extensible jusqu’à 16 Go1,256 Go,Bleu marine,REDMI13C8256B,REDMI 13C,"106,88",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip3 256Go Noir,SAMSUNG,8 Go,256 Go,Noir,F711256 N,Galaxy Z Flip3,320,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S21 128Go Gris,SAMSUNG,8 Go - LPDDR5 SDRAM,128 Go,Gris,G991128 G,Samsung Galaxy S21,"217,79",cdiscount.com,SMARTPHONE
"BLACKVIEW A52 Pro Smartphone 6.5"" 8Go RAM + 128Go ROM 5180mAh 13MP Caméra Téléphone portable 4G Double Sim Android 13 GPS - Bleu",BLACKVIEW,4Go RAM + jusqu’à 4Go d’extension,8Go (4Go + 4Go) + 128Go,Bleu,,A52 Pro,"86,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Bleu (8 Go / 256 Go) - Smartphone 4G-LTE Dual SIM - Helio G81-Ultra 8-Core 2.0 GHz - RAM 8 Go - Ecran tactile 6.88',XIAOMI,,,,,,"119,89",cdiscount.com,SMARTPHONE
Smartphone - HUAWEI - P40 Lite - 128 Go - Double SIM - Rose - Android 10,HUAWEI,6 Go,128 Go,Rose,51095CKG,,"86,75",cdiscount.com,SMARTPHONE
"Smartphone 4G - Marque - Modèle - 6.3"" Plein HD - 64Go - Débloqué - Android 10.0",TEENO,4 Go,,,,,"65,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Huawei Y7 Pro 2019 Smartphone 6.26"" FHD 4Go + 64Go 4000mAh Double SIM 4G - Noir",HUAWEI,4Go,64 Go,Noir,,,"72,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HONOR X6b 4Go+128Go Smartphone  4G - Vert,HONOR,4go,128Go,Vert,,HONOR X6b,"99,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double Sim 4G - GPS - Bleu",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Bleu,,N55 Pro,"109,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone - HUAWEI - P40 Lite 5G - 128 Go - 6 Go RAM - 64 MP + 8 MP + 2 MP + 2 MP - Space Silver,HUAWEI,6 Go,128 Go,Argent,51095MCA,,"104,99",cdiscount.com,SMARTPHONE
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double SIM 4G - GPS - Noir",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Noir,,N55 Pro,"108,99",cdiscount.com,SMARTPHONE
XIAOMI Redmi 6A 16 Go Gris - Reconditionné - Excellent état,XIAOMI,2 Go,16 Go,Gris,18986,,60,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A13 64Go 5G Noir,SAMSUNG,4Go,64 Go,Noir,SM-A136BZKUEUB,Samsung Galaxy A13,"105,89",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"329,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip3 256Go Vert 5G,SAMSUNG,,256 Go,Vert,,Samsung Galaxy Z Flip3 5G,306,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Redmi Note 13 Vert 6 GO + 128 GO,XIAOMI,,6Go + 128Go,Vert,,,"129,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Blackview WAVE 8C Smartphone, 6Go (2+4) RAM /64Go ROM, 6.56"", 13MP, 4700mAh Téléphone Portable Android 14 GPS Double SIM 4G - Bleu",BLACKVIEW,2 Go + 4 Go extension de RAM virtuelle,(2+4) Go RAM + 64 Go ROM,Bleu,,WAVE 8C,"75,99",cdiscount.com,SMARTPHONE
Smartphone Robuste 5G DOOGEE V40 6.78 pouces FHD+ Android 14 - 32Go+512Go Caméra 108MP 8680mAh Téléphone IP68 NFC-Face ID - Argent,DOOGEE,32Go (12Go + jusqu'à 20go RAM étendue),32 Go (12 Go + jusqu'à 20 Go de RAM étendue) + 512 Go de ROM,Argent,,V40,"349,99",cdiscount.com,SMARTPHONE
Smartphone - HUAWEI - P30 Pro - 256 Go - Double SIM - Android 9.0 Pie,HUAWEI,8 Go,256 Go,Noir,51093QFS,,"201,99",cdiscount.com,SMARTPHONE
"Smartphone 4G - Marque - Modèle - 6.3"" Plein HD - 64Go - Débloqué - Android 10.0",TEENO,4 Go,,,,,"65,99",cdiscount.com,SMARTPHONE
"Smartphone Pas Cher - OUKITEL C57S - 64Go - 4300mAh - 6.52""HD - Android 14 - 13MP+5MP - GPS - OTG - Face ID - Noir",OUKITEL,2Go+6Go d'extension,8(2+6)Go RAM + 64Go ROM,Noir,,OUKITEL C57S,"72,79",cdiscount.com,SMARTPHONE
Smartphone 5G - Nubia - Z60 Ultra - 12 Go RAM - 256 Go ROM - Snapdragon 8 Gen 3 - Noir,,,,,NX721J,,619,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi Note 13 Pro 5G 8 Go/128 Go Bleu (Ocean Teal) Double SIM,XIAOMI,,8Go + 128Go,Bleu,,,"311,9",cdiscount.com,SMARTPHONE
