Nom du produit,Marque,Stockage,Référence,Taille écran,CPU,Prix,Site web,Catégorie
"PC Portable HP 17-cp2042nf - Windows 11 - 17,3"" FHD IPS - Ryzen 5-7520U - RAM 16Go - Stockage 512Go - AZERTY",HP,,B13VCEA#ABF,,AMD Ryzen™ 5 7520U,"499,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 15s-fq0024nf - Windows  11 - 15,6"" FHD - Celeron N4120 - RAM 4Go - 128Go SSD - Microsoft 365 Personnel inclus 1 an",HP,,9J3L5EA#ABF,Oui,Intel Celeron N4120,"269,98",cdiscount.com,ORDINATEUR
"PC Portable HP 15s-fq0024nf - Windows  11 - 15,6"" FHD - Celeron N4120 - RAM 4Go - 128Go SSD - Microsoft 365 Personnel inclus 1 an",HP,,9J3L5EA#ABF,Oui,Intel Celeron N4120,"249,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad Slim 3 15IRH8 | Sans Windows - 15'' FHD IPS - Core i7-13620H - RAM 16 Go - SSD 1 To - AZERTY,LENOVO,SSD,83EM005PFR,,Intel® Core™ i7-13620H,"649,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 17-cn0016nf - Windows 11 - 17,3"" HD+ - Celeron N4120 - RAM 8Go - Stockage 512Go SSD - AZERTY",HP,,9E312EA#ABF,Oui,Intel Celeron N4120,"379,99",cdiscount.com,ORDINATEUR
"PC Portable 15,6"" FHD, Ordinateur Portable Windows 11 Pro, 16 Go RAM 256 Go SSD, Intel Celeron N4000, MINI HDMI, WiFi, avec Souris",,,,,CPU Celeron Dual-Core Turbo 2.60 GHz 4M Cache,"249,99",cdiscount.com,ORDINATEUR
Latitude E7450 I5/8/250SSD,DELL,,,,,179,cdiscount.com,ORDINATEUR
"Ordinateur portable Auusda 14,1"" 8 Go LPDDR4 512 Go SSD, Intel Celeron J4125 PC Portable, 1920 x 1080 IPS - Windows 11 Pro -Argent",,SSD,,Oui,Intel Celeron J4125,"239,99",cdiscount.com,ORDINATEUR
