Nom du produit,Marque,Stockage,Référence,Taille écran,CPU,Prix,Site web,Catégorie
"PC portable Gamer 16""- Core i5 12450H-(Jusqu'à 3,6 GHz)-16Go RAM 2TB SSD-Win10-4 cœurs- 5000 mAh -5G-ordinateur portable -argent",,,,16.1“,Intel(R) Core(R)I5 12450H,"407,55",cdiscount.com,ORDINATEUR
"PC portable-17.3"",Intel Celeron N5095(Jusqu'à 2,9 GHz),16Go RAM DDR4 512Go SSD,Windows 11PRO,WiFi5,Ordinateur Portable",,SSD,,Oui,lntel N5095,"309,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"Lenovo ThinkPad T480 20L5 Core i7 8550U - 1.8 GHz Win 10 Pro 64 bits 16 Go RAM 512 Go SSD TCG Opal Encryption 2, NVMe 14"" IPS…",LENOVO,,20L5000AIX,Oui,Intel Core i7 (8ème génération) 8550U / 1.8 GHz,359,cdiscount.com,ORDINATEUR
PC Portable Notebook - THOMSON - TH14C128 - Ecran 14’’ HD - Celeron N3350 - RAM 4Go - SSD 128Go - W10s - Silver,THOMSON,SSD,TH14C128,,Intel® Celeron ® N3350 2 Cores @2.4GHz,"139,99",cdiscount.com,ORDINATEUR
"PC portable,Intel Celeron N5095(4C/4T,Jusqu'à 2,9 GHz),24Go RAM DDR4 512Go SSD,Windows 11PRO,WiFi5,Ordinateur Portable,AZERTY",,,,,Intel celeron N5095,"289,99",cdiscount.com,ORDINATEUR
"15.6""PC portable,Intel Celeron N4000(Jusqu'à 2,9 GHz),8Go RAM DDR4 256Go SSD,Windows 11PRO,WiFi5,Ordinateur Portable",,SSD,,Oui,lntel N4000,"196,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 17-cp2042nf - Windows 11 - 17,3"" FHD IPS - Ryzen 5-7520U - RAM 16Go - Stockage 512Go - AZERTY",HP,,B13VCEA#ABF,,AMD Ryzen™ 5 7520U,"549,99",cdiscount.com,ORDINATEUR
"15.6""PC portable,Intel Celeron N4000(Jusqu'à 2,9 GHz),8Go RAM DDR4 256Go SSD,Windows 11PRO,WiFi5,Ordinateur Portable",,SSD,,Oui,lntel N4000,"196,99",cdiscount.com,ORDINATEUR
"PC portable Auusda - 15,6"" Intel Alder Lake N 95 - 16Go RAM - Stockage 512Go SSD FHD - Windows 11 Ordinateur portable Rose, 4 cœurs",,SSD,,Oui,Intel Alder Lake-N95,"279,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable LENOVO IdeaPad 1 15IGL7 | Windows 11 + 1 an Office - 15,6"" FHD - Celeron N4500 - RAM 4 Go - Stockage 128Go - AZERTY",LENOVO,128Go eMMC 5.1,82LX009RFR,,"Intel® Celeron® N4500 (2C / 2T, 1.1 / 2.8GHz, 4MB L3)","249,99",cdiscount.com,ORDINATEUR
"PC portable 16""-Intel Core i5-8210Y(Jusqu'à 3,6 GHz)-16Go RAM DDR3 512Go SSD-Windows 11PRO-RJ45-Ordinateur Portable-AZERTY",,,,"16""",Intel core i5 8210Y,"369,99",cdiscount.com,ORDINATEUR
PC Portable Chromebook LENOVO IdeaPad Slim 3 14M868 | Chrome OS - 14'' FHD - MT8186 - RAM 4Go - Stockage 64Go - AZERTY,LENOVO,64GB eMMC 5.1,82XJ0047FR,,MediaTek Kompanio 520,"179,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 15s-fq0024nf - Windows  11 - 15,6"" FHD - Celeron N4120 - RAM 4Go - 128Go SSD - Microsoft 365 Personnel inclus 1 an",HP,,9J3L5EA#ABF,Oui,Intel Celeron N4120,"299,99",cdiscount.com,ORDINATEUR
"PC portable MEDION - E15223 MD62644 - Windows 11 - 15,6"" FHD - Intel N100 - RAM 4Go - 128Go UFS - Intel UHD Graphics - AZERTY",MEDION,128 Go,30038161,,Intel N100,"179,99",cdiscount.com,ORDINATEUR
"PC portable - 16.1""FHD+ - 24 Go de RAM 512 Go SSD Intel Celeron N5095(2,0 GHz) - Windows 11 PRO - Rotation 170°- Ordinateur",,,,,Quad  coeur,"289,99",cdiscount.com,ORDINATEUR
Ordinateur Portable - Win11- PC Portable -14 Pouces-Écran 2K - RAM 16Go+Stockage 512Go SSD - Expansible 6TB-2.4G+5G WiFi-Rose,,,,Oui,Intel Celeron N5105,"279,99",cdiscount.com,ORDINATEUR
"PC Dell Latitude 7280, Intel Core i5-6300U, 12,5"" HD, Ram 8 Go, SSD 256 Go Windows 11 Pro AZERTY",DELL,,,,,249,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC portable - 16.1""FHD - 24 Go de RAM 512 Go SSD Intel Celeron N5095 (Jusqu'à 2,9 GHz) - Windows 11 PRO - WiFi5- Ordinateur",,,,,,"289,99",cdiscount.com,ORDINATEUR
"PC Portable Acer - Chromebook CBOA314-1H-C286 - Chrome OS - 14"" FHD - Intel Celeron N4500 - RAM 4Go - 128 Go eMMC - Autonomie 10,5h",ACER,128 Go,NX.J3AEF.003,,Intel® Celeron® N4500,"179,99",cdiscount.com,ORDINATEUR
NOTODD PC Portable 16''- Stockage 12Go+512Go - Intel Celeron N5095 - Ordinateur Portable Windows 11 - FHD 1920*1200 - WiFI 5G +,,SSD SATA M2,,,Intel Celeron N5095,"279,99",cdiscount.com,ORDINATEUR
PC Portable LENOVO Ideapad 3 17ALC6 | Windows 11 - 17'' HD+ - Ryzen 5 5500U - RAM 12Go - SSD 512 Go - AZERTY,LENOVO,512 Go SSD M.2 2242 PCIe® 4.0x4 NVMe®,82KV00J8FR,,AMD Ryzen™ 5 5500U,"529,99",cdiscount.com,ORDINATEUR
PC Portable LENOVO Ideapad 3 17ALC6 | Sans Windows - 17'' HD+ - Ryzen 5 5500U - RAM 12Go - SSD 512 Go - AZERTY,LENOVO,SSD 512 Go M.2 2242 PCIe® 4.0x4 NVMe®,82KV00LMFR,,AMD Ryzen™ 5 5500U,"399,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 17-cn0020nf - Windows 11 - 17,3"" HD+ - Celeron N4120 - RAM 4Go - Stockage 128Go SSD - AZERTY",HP,,9Q245EA#ABF,Oui,Intel® Celeron® N4120,299,cdiscount.com,ORDINATEUR
"PC portable Auusda - 16"" FHD 32 Go de RAM 1To SSD AMD Ryzen 3 3250U (Jusqu'à 3,5 GHz) - Windows 11 PRO - Rotation à 180°  - Gris",,,,,AMD Ryzen 3 3250U,"345,99",cdiscount.com,ORDINATEUR
"Apple MacBook Pro avec écran Retina Core i7 2.5 GHz OS X 10.12 Sierra 16 Go RAM 512 Go stockage flash 15.4"" IPS 2880 x 1800…",APPLE,,MJLT2LL/A,Oui,Intel Core i7 (4ème génération) 2.5 GHz,459,cdiscount.com,ORDINATEUR
NOTODD PC Portable 16''- Stockage 12Go+512Go - Celeron N5095 - Ordinateur Portable Windows 11 - FHD 1920*1200 - 5G/2.4G WiFI - Bleu,,SSD,,,Celeron N5095,"279,99",cdiscount.com,ORDINATEUR
"PC Portable Notebook - THOMSON NEO14 - 14,1"" HD - Celeron N4020 - RAM 4Go - 128Go SSD - Windows 11S - Blanc - AZERTY + Office 1 an",THOMSON,128 GB,TH14C4WH128C,,Intel Celeron N4020,"169,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable Gamer HP Victus 15-fb0202nf - Sans Windows - 15,6"" FHD 144Hz - RTX 3050 4Go - Ryzen 5-5600H - RAM 16Go - 512Go SSD",HP,,7M1V9EA#ABF,Oui,AMD Ryzen™ 5 5600H,"659,99",cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad Slim 3 15IAN8| Sans Windows - 15'' FHD - Core i3-N305 - RAM 8 Go - SSD 512 Go - AZERTY,LENOVO,SSD,82XB006UFR,,Intel® Core™ i3-N305,"349,99",cdiscount.com,ORDINATEUR
"PC Portable Acer Aspire 3 A315-44P-R1NV - 15.6"" FHD - AMD Ryzen 5 5500U - RAM 8Go - 512Go SSD - Windows 11 - AZERTY",ACER,SSD,NX.KSJEF.00G,Oui,AMD Ryzen™ 5 5500U,"449,99",cdiscount.com,ORDINATEUR
"PC portable Gamer ERAZER - DEPUTY P60i -Livré sans Windows -15,6"" FHD 144Hz - RTX 4060 - Core i5-12450H -RAM 16Go -SSD 512Go -AZERTY",ERAZER,SSD,30038061,,"Intel® Core™ i5-12450H (3,3GHz - 45W)","724,99",cdiscount.com,ORDINATEUR
"Ordinateur Portable 16,1"", PC Portable Gamer(Intel Core i5-12450H, RAM 16GB, SSD 2TB, Intel UHD Graphics, Win10), Laptop Argenté",,,,,Intel(R) Core(R)i5 12450H,"398,66",cdiscount.com,ORDINATEUR
PC portable-NVIDIA GeForce MX330-Intel Alder Lake N95(4 cœurs/4 threads)-16Go RAM DDR4 512Go SSD-Windows 11 PRO-Ordinateur Portable,,,,,Intel Alder Lake N95,"339,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
Ordinateur Portable HP 840 G1 - Core i5 - RAM 8Go - SSD 240Go - Windows 10 - Reconditionné - Etat correct,HP,,,,Intel Core i5 4200U,"160,86",cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad 1 15ALC7 | Sans Windows - 15'' FHD IPS - Ryzen 7 5700U - RAM 16 Go - SSD 512 Go - AZERTY,LENOVO,SSD,82R400JNFR,,AMD Ryzen™ 7 5700U,"479,99",cdiscount.com,ORDINATEUR
"PC Portable HP 17-cn3013nf - Windows 11 - 17,3"" HD+ - Core i3-N305 - RAM 8Go - Stockage 512Go SSD - AZERTY",HP,,A7KA7EA#ABF,,Intel® Core™ i3-N305,"449,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
PC Portable - LENOVO - IdeaPad 1 15ALC7 - AMD R5 5500U - RAM 8 Go - SSD 512 Go - Windows 11,LENOVO,512GB SSD,82R4007BFR,,AMD Ryzen™ 5 5500U,"399,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 17-cp0012nf - Windows 11 - 17,3"" FHD - Ryzen 5-5500U - RAM 16Go - Stockage 512Go SSD - AZERTY",HP,,A7JY3EA#ABF,,AMD Ryzen™ 5 5500U,"529,99",cdiscount.com,ORDINATEUR
"PC Portable 15,6"" FHD, Ordinateur Portable Windows 11 Pro, 16 Go RAM 256 Go SSD, Intel Celeron N4000, MINI HDMI, WiFi, avec Souris",,,,,CPU Celeron Dual-Core Turbo 2.60 GHz 4M Cache,"249,99",cdiscount.com,ORDINATEUR
Auusda PC Portable 15.6''- Stockage 32GB+1To - Intel Celeron N95 - Ordinateur Portable Windows 11 - FHD 1920*1080 - 5G/2.4G WiFI,,SSD,,Oui,Intel Alder Lake-N95,"355,99",cdiscount.com,ORDINATEUR
Ordinateur portable Lenovo ThinkPad T430 - Intel Core i5-3320M - 8Go RAM - 500Go HDD - Windows 10,LENOVO,,,,Intel Core i5,179,cdiscount.com,ORDINATEUR
Ordinateur Portable - Win11- PC Portable -14 Pouces-1080p FHD - RAM 6Go+Stockage256Go SSD - Expansible 1TB-2.4G+5G WiFi-Argent,,256 Go SSD,,14 pouces,,"199,99",cdiscount.com,ORDINATEUR
"PC Portable ASUS VivoBook 15 S1502 | Sans Windows - 15,6"" FHD 60Hz - AMD Ryzen 7 5825U - RAM 16Go - 1To SSD",ASUS,,90NB0X22-M00WR0,Oui,AMD Ryzen 7 5825U / 2.0 GHz,"489,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable ASUS VivoBook 17 S1704 | Win 11 - 17,3"" FHD 60Hz - Intel Core i3-1315U - RAM 16Go - 512Go SSD",ASUS,,90NB10V1-M00UK0,Oui,Intel Core i3-1315U / 1.2 GHz,"579,99",cdiscount.com,ORDINATEUR
"PC Portable HP 15s-eq2120nf - Windows 11 - 15,6"" FHD - Ryzen 5-5500U - RAM 8Go - Stockage 256Go - AZERTY",HP,,A80NDEA#ABF,,AMD Ryzen™ 5 5500U,"439,99",cdiscount.com,ORDINATEUR
"PC Portable Notebook - THOMSON NEO17 - 17,3"" HD - Core i3-1000G4 - RAM 16Go - 512Go SSD - Windows 11 - Noir - AZERTY",THOMSON,512 GB,TH17I310-16BK512,,Intel Core i3-1000G4,"399,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
PC Portable LENOVO Ideapad Slim 3 16IAH8 | Windows 11 - 16'' WUXGA - Core i5-12450H - RAM 16 Go - SSD 512Go - AZERTY,LENOVO,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,83ES003DFR,,"Intel® Core™ i5-12450H, 8C (4P + 4E) / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB","599,99",cdiscount.com,ORDINATEUR
"PC portable Gamer 16""- Core i5 12450H-(Jusqu'à 3,6 GHz)-16Go RAM 2TB SSD-Win10-4 cœurs- 5000 mAh -5G-ordinateur portable -argent",,,,16.1“,Intel(R) Core(R)I5 12450H,"407,55",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
