Nom du produit,Marque,Capacité,Référence,Type de périphérique,Prix,Site web,Catégorie
Disque Dur Externe - Western Digital - Elements - 1To - USB3.0 - Noir,WESTERN DIGITAL,1 To,WDBUZG0010BBK,Disque dur - externe (portable),"79,58",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - NAS IronWolf - 12To - 7200trs/mn - 3.5""",SEAGATE,12 To,ST12000VN0008,Disque dur - interne,"293,88",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SAMSUNG - SSD externe - T7 Rouge - 2To - USB Type C (MU-PC2T0R/WW),SAMSUNG,2 To,MU-PC2T0R/WW,Lecteur à semi-conducteurs - externe (portable),"256,02",cdiscount.com,DISQUE DUR
PNY - CS1030 - SSD - 500 Go - M.2 2280 - M280CS1030-500-RB,PNY,500 Go,M280CS1030-500-RB,Lecteur à semi-conducteurs - interne,"29,62",cdiscount.com,DISQUE DUR
SSD Externe - LaCie - Portable SSD - 500Go - NVMe - USB-C,LACIE,500 Go,STKS500400,Lecteur à semi-conducteurs - externe (portable),"89,99",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 2To,TOSHIBA,2 To,HDTB520EK3AA,Disque dur - externe (portable),"74,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 1To,TOSHIBA,1 To,HDTB410EK3AA,Disque dur - externe (portable),"65,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SAMSUNG - SSD Interne - 970 EVO PLUS - 1To - M.2 NVMe (MZ-V7S1T0BW),SAMSUNG,1 To,MZ-V7S1T0BW,Lecteur à semi-conducteurs - interne,"115,57",cdiscount.com,DISQUE DUR
"Disque dur interne WESTERN DIGITAL HGST Ultrastar DC HC320 HUS728T8TALE6L4 - 3.5"" - 8 To - SATA/600 - Serveur",WESTERN DIGITAL,8 To,0B36404,Disque dur - interne,"254,27",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"Disque Dur Externe 1TO - Noir - USB3.0 - 2.5"" - Transferts de données Ultra-Rapides",,1 To,,,"16,29",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"SSD externe - LEXAR - SL600 - 512 Go, USB 3.2, rapide et robuste",LEXAR,512 Go,LSL600X512G-RNBNG,SSD portable,"69,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"Seagate Mobile HDD BarraCuda 4To - 2,5"" - ST4000LM024",SEAGATE,4 To,ST4000LM024,Disque dur - interne,"156,54",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SSD Externe - HIKSEMI - T100 - 512Go - USB-C - 450MB/s  - Noir,,1024 Go,HS-ESSD-T100/512G/BLACK,Lecteur à semi-conducteurs - externe (portable),"54,99",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur SSD externe - INTENSO - PREMIMUM - 512Go - Gris,INTENSO,512 Go,3823450,Disque dur SSD externe,"50,06",cdiscount.com,DISQUE DUR
Disque dur SSD externe - INTENSO - PREMIUM - 1 To - Gris,INTENSO,1 To,3823460,Disque dur SSD externe,"75,36",cdiscount.com,DISQUE DUR
