Nom du produit,Marque,Capacité,Référence,Type de périphérique,Prix,Site web,Catégorie
Disque dur externe INN® Type-C disque dur externe 1To pour PC ordinateur portable bureau disque dur externe portable disque mobile,,,,,"26,9",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 2To,TOSHIBA,2 To,HDTB520EK3AA,Disque dur - externe (portable),"80,4",cdiscount.com,DISQUE DUR
Disque dur externe Toshiba CANVIO 1To,TOSHIBA,1 To,HDTB410EK3AA,Disque dur - externe (portable),"67,56",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque SSD Interne - CRUCIAL - P310 500Go PCIe Gen4 NVMe M.2 SSD (CT500P310SSD8),CRUCIAL,500 Go,CT500P310SSD8,Disque dur interne,"55,69",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"PNY - CS900 SATA - Disque SSD - 2,5"" - 250GB",PNY,250 GB,SSD7CS900-250-RB,Disque SSD CS900,"14,99",cdiscount.com,DISQUE DUR
"CRUCIAL - Disque SSD Interne - BX500 - 1To - 2,5"" pouces (CT1000BX500SSD1)",CRUCIAL,1 To,CT1000BX500SSD1,Lecteur à semi-conducteurs - interne,"65,49",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
SAMSUNG SSD Interne 990 EVO 1 To NVMe M.2 PCIe 4.0 x 4 - 5000 Mo/s - MZ-V9E1T0BW,SAMSUNG,1 To,SAM8806095300276,,114,cdiscount.com,DISQUE DUR
SSD Interne - SAMSUNG - 990 EVO Plus 1 To - NVMe M.2 PCIe 4.0x4 - Vitesse lecture jusqu'à 7 150 Mo/s,SAMSUNG,1 To,MZ-V9S1T0BW,Lecteur à semi-conducteurs - interne,"79,99",cdiscount.com,DISQUE DUR
SAMSUNG SSD Interne 990 PRO avec dissipateur 2 To MZ-V9P2T0GW,SAMSUNG,2 To,SAM1687224481289,Disque SSD Interne,"215,88",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur SSD CRUCIAL P3 Plus 2 To PCIe 4.0 NVMe M.2 2280,CRUCIAL,2 To,CT2000P3PSSD8,Lecteur à semi-conducteurs - interne,"124,9",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Disque dur externe INN® HDD Type-C USB2.0 compact portable vitesse normale 2-10 Mo/s avec sac de rangement en tissu de poche argent,,4 To,,,"26,99",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne HDD - BarraCuda - 2To - 7200 tr/min - 3.5""",SEAGATE,2 To,ST2000DM008,Disque dur - interne,"69,99",cdiscount.com,DISQUE DUR
"SEAGATE - Disque dur Interne - BarraCuda - 8To - 5400trs/min - 3,5""",SEAGATE,8 To,ST8000DM004,Disque dur - interne,"168,19",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
Seagate SSD 1To Expansion Card for Xbox Series X/S (STJR1000400),SEAGATE,2 To,STJR1000400,,"159,9",cdiscount.com,DISQUE DUR
Disque dur externe - TOSHIBA - CANVIO BASICS - 4 To - Noir,TOSHIBA,4 To,HDTB540EK3CA,Disque dur - externe (portable),"123,68",cdiscount.com,DISQUE DUR
Disque dur interne Seagate Barracuda 8 To SATA III - 3.5 pouces - 7200 RPM,SEAGATE,8 To,,Disque dur - interne,"163,06",cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
,,,,,,cdiscount.com,DISQUE DUR
"Disque dur - TOSHIBA - DT01ACA050 - 500 Go - 3.5"" - SATA III - 7200 tr/min",TOSHIBA,500 Go,,Disque dur,"13,5",cdiscount.com,DISQUE DUR
