Nom du produit,Marque,Résolution écran,Référence,Taille écran,Prix,Site web,Catégorie
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"Moniteur portable 17,3 pouces UPERFECT Écran Full HD 1920x1080 adapté à SAMSUNG DEX",,Full HD (1080p) 1920x1080,,"17,3""","169,99",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"Ecran PC Gaming - MEDION - MD20127 - 27"" FHD - Dalle IPS - 1ms - 165 Hz - HDMI / DisplayPort",MEDION,Full HD 1920 x 1080 pixels,MD20127,"27 ""","117,99",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"Ecran PC Gamer AOC - 27G42E - 27'' FHD - Dalle IPS - 180Hz - 0,5MS MPRT - Adaptive Sync - HDMI / DP",,1920 x 1080,27G42E,"27""","139,99",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"Ecran PC Gamer Incurvé - IIYAMA G-Master Red Eagle G2766HSU-B1 - 27"" FHD - Dalle VA - 1 ms - 165Hz",IIYAMA,1920 x 1080,G2766HSU-B1,"27 ""","149,89",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"UPERFECT Moniteur de jeu portable 18 pouces 2560*1600 2K 144HZ, 100% DCI-P3, vitesse de réponse de 5 ms, compatible VESA",,2560*1600,,45.72cm,"199,99",cdiscount.com,MONITEUR
"UPERFECT 18,5 pouces double écran supérieur et inférieur, moniteur portable Full HD 100HZ 1080P",,1920*1080,,46.99cm,"395,99",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"Ecran PC Gaming - MEDION - MD20124 - 24"" FHD - Dalle IPS - 1 ms - 180 Hz - HDMI / DisplayPort",MEDION,Full HD 1920 x 1080 pixels,MD20124,"24 ""","99,99",cdiscount.com,MONITEUR
Philips - Brilliance 19S1SS - Moniteur LCD 19',PHILIPS,1280 x 1024 à 60 Hz,19S1SS/00,"19""","40,7",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"Ecran PC gamer - VIEWSONIC - VX2418C - 24"" VA FHD 1920 x 1080 - 1ms(MPRT) - 165Hz - HDMI/DisplayPort",VIEWSONIC,1920 x 1080,VX2418C,"24""","109,99",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
"Écran PC Moniteur 22F650 CHiQ, 22'' 100Hz,FHD (1920 x 1080), VA, 99% sRVB, HDMI, VGA, montage VESA,2024",CHIQ,1920*1080,,,"83,99",cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
,,,,,,cdiscount.com,MONITEUR
